"","Fish_ID","Total_time","Time_refuge","Group_size","Trial_ID","Phase","pool_temp","fish_length","pool_temp_scaled","fish_length_scaled","Groupsize_Phase","Trial_Date"
"1",0,240,0.428571428571429,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"2",1,393,0.0642857142857143,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"3",2,250,0.404761904761905,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"4",3,256,0.39047619047619,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"5",4,285,0.321428571428571,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"6",5,292,0.304761904761905,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"7",6,265,0.369047619047619,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"8",7,356,0.152380952380952,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"9",8,238,0.433333333333333,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"10",9,321,0.235714285714286,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"11",10,259,0.383333333333333,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"12",11,225,0.464285714285714,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"13",12,264,0.371428571428571,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"14",13,205,0.511904761904762,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"15",14,329,0.216666666666667,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"16",15,270,0.357142857142857,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"17",16,275,0.345238095238095,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"18",17,267,0.364285714285714,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"19",18,297,0.292857142857143,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"20",19,229,0.454761904761905,20,"b-20-1512","before",23.8,2.2664,-1.22616483223776,-0.340125754814078,5,"1512"
"21",0,356,0.152380952380952,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"22",1,351,0.164285714285714,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"23",2,335,0.202380952380952,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"24",3,353,0.15952380952381,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"25",4,356,0.152380952380952,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"26",5,354,0.157142857142857,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"27",6,345,0.178571428571429,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"28",7,357,0.15,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"29",8,353,0.15952380952381,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"30",9,341,0.188095238095238,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"31",10,355,0.154761904761905,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"32",11,334,0.204761904761905,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"33",12,358,0.147619047619048,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"34",13,349,0.169047619047619,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"35",14,353,0.15952380952381,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"36",15,333,0.207142857142857,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"37",16,339,0.192857142857143,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"38",17,342,0.185714285714286,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"39",18,339,0.192857142857143,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"40",19,356,0.152380952380952,20,"b-20-1112","before",24.2,2.51925,0.0743130201356168,0.536551610129605,5,"1112"
"41",0,315,0.25,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"42",1,306,0.271428571428571,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"43",2,316,0.247619047619048,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"44",3,322,0.233333333333333,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"45",4,328,0.219047619047619,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"46",5,314,0.252380952380952,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"47",6,338,0.195238095238095,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"48",7,326,0.223809523809524,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"49",8,338,0.195238095238095,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"50",9,306,0.271428571428571,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"51",10,313,0.254761904761905,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"52",11,308,0.266666666666667,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"53",12,308,0.266666666666667,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"54",13,311,0.25952380952381,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"55",14,346,0.176190476190476,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"56",15,317,0.245238095238095,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"57",16,329,0.216666666666667,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"58",17,323,0.230952380952381,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
"59",18,348,0.171428571428571,20,"b-20-0912","before",24.4,2.9027,0.724551946322304,1.86604314893781,5,"0912"
