Trial_ID,Group_size,Fish_ID,In,Out,Duration
during-20-1512,20,0,0,3,3
during-20-1512,20,0,5,8,3
during-20-1512,20,0,10,12,2
during-20-1512,20,0,44,51,7
during-20-1512,20,0,97,98,1
during-20-1512,20,0,128,133,5
during-20-1512,20,0,145,159,14
during-20-1512,20,0,160,164,4
during-20-1512,20,0,202,206,4
during-20-1512,20,0,227,229,2
during-20-1512,20,0,240,250,10
during-20-1512,20,0,274,276,2
during-20-1512,20,0,300,303,3
during-20-1512,20,0,304,307,3
during-20-1512,20,0,318,324,6
during-20-1512,20,0,350,363,13
during-20-1512,20,0,381,384,3
during-20-1512,20,1,0,9,9
during-20-1512,20,1,14,16,2
during-20-1512,20,1,25,46,21
during-20-1512,20,1,49,53,4
during-20-1512,20,1,77,89,12
during-20-1512,20,1,125,126,1
during-20-1512,20,1,132,142,10
during-20-1512,20,1,201,203,2
during-20-1512,20,1,268,301,33
during-20-1512,20,1,302,303,1
during-20-1512,20,1,334,345,11
during-20-1512,20,1,351,367,16
during-20-1512,20,1,377,384,7
during-20-1512,20,2,0,4,4
during-20-1512,20,2,7,14,7
during-20-1512,20,2,26,28,2
during-20-1512,20,2,29,30,1
during-20-1512,20,2,42,50,8
during-20-1512,20,2,98,100,2
during-20-1512,20,2,144,160,16
during-20-1512,20,2,195,206,11
during-20-1512,20,2,216,219,3
during-20-1512,20,2,234,248,14
during-20-1512,20,2,304,316,12
during-20-1512,20,2,329,337,8
during-20-1512,20,2,351,355,4
during-20-1512,20,2,359,366,7
during-20-1512,20,2,384,386,2
during-20-1512,20,2,391,402,11
during-20-1512,20,3,5,7,2
during-20-1512,20,3,8,13,5
during-20-1512,20,3,14,16,2
during-20-1512,20,3,26,35,9
during-20-1512,20,3,47,51,4
during-20-1512,20,3,59,60,1
during-20-1512,20,3,82,100,18
during-20-1512,20,3,125,127,2
during-20-1512,20,3,168,173,5
during-20-1512,20,3,190,195,5
during-20-1512,20,3,225,227,2
during-20-1512,20,3,229,232,3
during-20-1512,20,3,250,252,2
during-20-1512,20,3,263,267,4
during-20-1512,20,3,268,270,2
during-20-1512,20,3,297,302,5
during-20-1512,20,3,304,306,2
during-20-1512,20,3,333,348,15
during-20-1512,20,3,351,355,4
during-20-1512,20,3,379,382,3
during-20-1512,20,3,390,399,9
during-20-1512,20,3,409,411,2
during-20-1512,20,4,0,13,13
during-20-1512,20,4,38,42,4
during-20-1512,20,4,48,52,4
during-20-1512,20,4,57,66,9
during-20-1512,20,4,67,85,18
during-20-1512,20,4,88,89,1
during-20-1512,20,4,124,133,9
during-20-1512,20,4,146,152,6
during-20-1512,20,4,163,168,5
during-20-1512,20,4,177,179,2
during-20-1512,20,4,183,188,5
during-20-1512,20,4,194,202,8
during-20-1512,20,4,211,212,1
during-20-1512,20,4,235,239,4
during-20-1512,20,4,240,243,3
during-20-1512,20,4,263,268,5
during-20-1512,20,4,287,289,2
during-20-1512,20,4,300,304,4
during-20-1512,20,4,320,321,1
during-20-1512,20,4,324,329,5
during-20-1512,20,4,331,337,6
during-20-1512,20,4,342,343,1
during-20-1512,20,4,349,350,1
during-20-1512,20,4,354,356,2
during-20-1512,20,4,363,367,4
during-20-1512,20,4,387,390,3
during-20-1512,20,5,0,4,4
during-20-1512,20,5,5,18,13
during-20-1512,20,5,27,31,4
during-20-1512,20,5,44,53,9
during-20-1512,20,5,56,67,11
during-20-1512,20,5,74,86,12
during-20-1512,20,5,89,95,6
during-20-1512,20,5,120,126,6
during-20-1512,20,5,131,139,8
during-20-1512,20,5,149,150,1
during-20-1512,20,5,158,159,1
during-20-1512,20,5,188,196,8
during-20-1512,20,5,197,209,12
during-20-1512,20,5,223,224,1
during-20-1512,20,5,227,229,2
during-20-1512,20,5,245,254,9
during-20-1512,20,5,312,317,5
during-20-1512,20,5,324,329,5
during-20-1512,20,5,336,342,6
during-20-1512,20,5,353,360,7
during-20-1512,20,5,379,384,5
during-20-1512,20,5,385,387,2
during-20-1512,20,5,391,395,4
during-20-1512,20,5,399,408,9
during-20-1512,20,6,0,7,7
during-20-1512,20,6,23,42,19
during-20-1512,20,6,141,173,32
during-20-1512,20,6,190,204,14
during-20-1512,20,6,273,305,32
during-20-1512,20,6,340,343,3
during-20-1512,20,6,367,369,2
during-20-1512,20,6,386,389,3
during-20-1512,20,7,3,12,9
during-20-1512,20,7,36,40,4
during-20-1512,20,7,46,49,3
during-20-1512,20,7,53,60,7
during-20-1512,20,7,62,66,4
during-20-1512,20,7,111,112,1
during-20-1512,20,7,138,145,7
during-20-1512,20,7,166,169,3
during-20-1512,20,7,193,197,4
during-20-1512,20,7,205,207,2
during-20-1512,20,7,245,250,5
during-20-1512,20,7,264,267,3
during-20-1512,20,7,302,305,3
during-20-1512,20,7,312,319,7
during-20-1512,20,7,332,338,6
during-20-1512,20,7,350,355,5
during-20-1512,20,7,390,400,10
during-20-1512,20,8,37,53,16
during-20-1512,20,8,69,83,14
during-20-1512,20,8,96,98,2
during-20-1512,20,8,155,164,9
during-20-1512,20,8,177,178,1
during-20-1512,20,8,192,198,6
during-20-1512,20,8,221,224,3
during-20-1512,20,8,308,309,1
during-20-1512,20,8,311,318,7
during-20-1512,20,8,332,337,5
during-20-1512,20,8,358,362,4
during-20-1512,20,8,387,400,13
during-20-1512,20,9,1,13,12
during-20-1512,20,9,27,29,2
during-20-1512,20,9,48,57,9
during-20-1512,20,9,58,60,2
during-20-1512,20,9,148,150,2
during-20-1512,20,9,153,158,5
during-20-1512,20,9,161,164,3
during-20-1512,20,9,263,264,1
during-20-1512,20,9,269,273,4
during-20-1512,20,9,288,306,18
during-20-1512,20,9,328,329,1
during-20-1512,20,9,339,344,5
during-20-1512,20,9,349,359,10
during-20-1512,20,9,372,376,4
during-20-1512,20,10,0,12,12
during-20-1512,20,10,27,41,14
during-20-1512,20,10,64,89,25
during-20-1512,20,10,156,165,9
during-20-1512,20,10,193,200,7
during-20-1512,20,10,239,241,2
during-20-1512,20,10,263,278,15
during-20-1512,20,10,322,329,7
during-20-1512,20,10,334,341,7
during-20-1512,20,10,350,369,19
during-20-1512,20,10,388,400,12
during-20-1512,20,10,407,414,7
during-20-1512,20,11,0,2,2
during-20-1512,20,11,6,15,9
during-20-1512,20,11,38,42,4
during-20-1512,20,11,43,87,44
during-20-1512,20,11,96,99,3
during-20-1512,20,11,121,129,8
during-20-1512,20,11,137,148,11
during-20-1512,20,11,149,152,3
during-20-1512,20,11,166,169,3
during-20-1512,20,11,187,193,6
during-20-1512,20,11,237,240,3
during-20-1512,20,11,301,302,1
during-20-1512,20,11,317,325,8
during-20-1512,20,11,326,341,15
during-20-1512,20,11,387,400,13
during-20-1512,20,11,402,403,1
during-20-1512,20,12,0,3,3
during-20-1512,20,12,7,8,1
during-20-1512,20,12,34,48,14
during-20-1512,20,12,49,57,8
during-20-1512,20,12,97,99,2
during-20-1512,20,12,139,146,7
during-20-1512,20,12,148,149,1
during-20-1512,20,12,154,157,3
during-20-1512,20,12,198,199,1
during-20-1512,20,12,200,207,7
during-20-1512,20,12,212,213,1
during-20-1512,20,12,238,241,3
during-20-1512,20,12,251,255,4
during-20-1512,20,12,272,274,2
during-20-1512,20,12,287,289,2
during-20-1512,20,12,298,305,7
during-20-1512,20,12,308,315,7
during-20-1512,20,12,321,322,1
during-20-1512,20,12,334,339,5
during-20-1512,20,12,348,349,1
during-20-1512,20,12,351,363,12
during-20-1512,20,12,379,383,4
during-20-1512,20,12,394,399,5
during-20-1512,20,13,0,10,10
during-20-1512,20,13,44,47,3
during-20-1512,20,13,61,77,16
during-20-1512,20,13,126,132,6
during-20-1512,20,13,154,158,4
during-20-1512,20,13,163,170,7
during-20-1512,20,13,244,246,2
during-20-1512,20,13,295,304,9
during-20-1512,20,13,324,327,3
during-20-1512,20,13,349,367,18
during-20-1512,20,13,378,383,5
during-20-1512,20,13,387,389,2
during-20-1512,20,13,397,408,11
during-20-1512,20,14,5,13,8
during-20-1512,20,14,21,43,22
during-20-1512,20,14,106,109,3
during-20-1512,20,14,133,172,39
during-20-1512,20,14,191,197,6
during-20-1512,20,14,262,269,7
during-20-1512,20,14,273,290,17
during-20-1512,20,14,299,300,1
during-20-1512,20,14,309,311,2
during-20-1512,20,14,312,317,5
during-20-1512,20,14,319,328,9
during-20-1512,20,14,332,343,11
during-20-1512,20,14,350,352,2
during-20-1512,20,15,40,43,3
during-20-1512,20,15,90,95,5
during-20-1512,20,15,131,132,1
during-20-1512,20,15,134,138,4
during-20-1512,20,15,193,204,11
during-20-1512,20,15,264,302,38
during-20-1512,20,15,333,344,11
during-20-1512,20,15,365,372,7
during-20-1512,20,16,0,24,24
during-20-1512,20,16,30,41,11
during-20-1512,20,16,144,150,6
during-20-1512,20,16,159,169,10
during-20-1512,20,16,193,197,4
during-20-1512,20,16,206,208,2
during-20-1512,20,16,213,217,4
during-20-1512,20,16,234,239,5
during-20-1512,20,16,255,256,1
during-20-1512,20,16,268,271,3
during-20-1512,20,16,304,310,6
during-20-1512,20,16,379,386,7
during-20-1512,20,16,396,403,7
during-20-1512,20,17,0,2,2
during-20-1512,20,17,3,7,4
during-20-1512,20,17,37,40,3
during-20-1512,20,17,192,200,8
during-20-1512,20,17,237,239,2
during-20-1512,20,17,289,293,4
during-20-1512,20,18,0,12,12
during-20-1512,20,18,32,51,19
during-20-1512,20,18,55,85,30
during-20-1512,20,18,98,99,1
during-20-1512,20,18,158,160,2
during-20-1512,20,18,161,172,11
during-20-1512,20,18,174,179,5
during-20-1512,20,18,188,191,3
during-20-1512,20,18,197,199,2
during-20-1512,20,18,201,204,3
during-20-1512,20,18,238,239,1
during-20-1512,20,18,301,304,3
during-20-1512,20,19,2,5,3
during-20-1512,20,19,8,14,6
during-20-1512,20,19,31,42,11
during-20-1512,20,19,49,52,3
during-20-1512,20,19,58,61,3
during-20-1512,20,19,66,71,5
during-20-1512,20,19,84,89,5
during-20-1512,20,19,123,124,1
during-20-1512,20,19,152,153,1
during-20-1512,20,19,154,166,12
during-20-1512,20,19,195,198,3
during-20-1512,20,19,236,240,4
during-20-1512,20,19,268,269,1
during-20-1512,20,19,271,273,2
during-20-1512,20,19,290,294,4
during-20-1512,20,19,302,308,6
during-20-1512,20,19,316,317,1
during-20-1512,20,19,329,330,1
during-20-1512,20,19,339,346,7
during-20-1512,20,19,350,359,9
during-20-1512,20,19,373,375,2
during-20-1512,20,19,380,381,1
during-20-1512,20,19,388,399,11
during-20-1512,20,19,403,406,3
during-20-1112,20,0,20,25,5
during-20-1112,20,0,37,40,3
during-20-1112,20,0,48,53,5
during-20-1112,20,0,57,67,10
during-20-1112,20,0,71,73,2
during-20-1112,20,0,132,140,8
during-20-1112,20,0,150,155,5
during-20-1112,20,0,183,185,2
during-20-1112,20,0,193,197,4
during-20-1112,20,0,218,220,2
during-20-1112,20,0,272,286,14
during-20-1112,20,0,321,323,2
during-20-1112,20,0,324,326,2
during-20-1112,20,0,376,377,1
during-20-1112,20,0,389,400,11
during-20-1112,20,1,10,19,9
during-20-1112,20,1,20,32,12
during-20-1112,20,1,37,42,5
