Length,Date
1.785,2911
1.743,2911
1.553,2911
1.777,2911
1.52,2911
2.916,912
3.117,912
2.847,912
2.916,912
2.864,912
2.378,912
2.76,912
3.155,912
2.868,912
2.764,912
2.505,912
2.87,912
2.912,912
3.182,912
3.029,912
2.846,912
2.262,912
4.901,912
2.882,912
2.08,912
2.246,612
3.146,612
2.253,612
2.553,612
2.846,612
2.51,612
3.015,612
2.397,612
1.613,612
1.964,612
2.064,612
2.112,612
2.591,612
2.466,612
2.74,612
3.191,612
2.489,612
2.356,612
2.803,612
2.849,612
1.962,412
1.783,412
1.978,412
2.316,412
2.257,412
1.792,1312
1.663,1312
2.32,1312
1.658,1312
1.702,1312
1.802,1312
1.875,1312
1.342,1312
2.232,1312
1.721,1312
2.067,312
1.666,312
1.579,312
2.385,312
2.677,312
2.317,312
2.217,312
2.053,312
2.567,312
2.643,312
2.356,1412
2.916,1412
1.567,1412
2.08,1412
2.865,1412
1.947,3011
2.269,3011
2.063,3011
2.343,3011
2.364,3011
2.306,3011
2.155,3011
2.009,3011
2.279,3011
1.864,3011
2.633,1012
2.117,1012
2.671,1012
2.303,1012
2.601,1012
2.736,712
2.144,712
2.01,712
2.475,712
2.452,712
2.186,712
1.901,712
1.876,712
2.096,712
1.914,712
2.854,712
2.138,712
2.541,712
2.374,712
2.122,712
2.851,712
3.105,712
2.688,712
2.639,712
1.827,712
1.941,1112
2.71,1112
1.432,1112
3.015,1112
2.439,1112
2.768,1112
2.421,1112
2.115,1112
2.271,1112
2.872,1112
2.404,1112
2.838,1112
2.539,1112
2.132,1112
2.543,1112
2.722,1112
2.633,1112
3.485,1112
1.926,1112
3.179,1112
2.173,1512
2.289,1512
2.894,1512
2.116,1512
2.161,1512
1.896,1512
1.726,1512
2.265,1512
2.633,1512
1.79,1512
2.335,1512
2.305,1512
2.249,1512
1.967,1512
2.01,1512
2.056,1512
2.11,1512
2.691,1512
2.684,1512
2.978,1512
3.152,1212
2.055,1212
2.324,1212
2.932,1212
2.401,1212
2,1212
2.461,1212
2.153,1212
2.61,1212
2.539,1212
2.689,812
2.896,812
2.567,812
2,812
2.65,812
2.162,812
2.512,812
2,812
3.043,812
2.699,812
2.199,212
2.159,212
2.123,212
2.295,212
2.163,212
2.198,212
2.471,212
2.123,212
1.952,212
2.078,212
2.11,212
2.509,212
1.856,212
1.326,212
2.485,212
2.696,212
2.481,212
1.974,212
1.512,212
2.869,212
